Object, x, y
sheep1, 4.7, 2.7
sheep2, 3.2, -0.6
sheep3, -0.2, 3.9
sheep4, -4.1, 3.9
sheep5, -2.0, 8.7
Coke1, 4.7, 7.6
Coke2, 0.7, 3.5
Coke3, -4.8, -1.4
Coke4, 2.0, 1.4
Coke5, -3.8, 6.8
Marker4, -2.417930, 7.387260
Marker9, 3.831771, 0.467428
Marker12, 3.946369, -1.556551
Marker18, -3.108924, -2.392190
Marker21, -2.036747, 0.450764
Marker25, 0.062266, 9.588080
Marker27, -0.644196, 4.604784
Marker32, -5.372030, 3.990414
Marker33, 2.925104, 6.114253
Marker36, 3.306921, 8.989054
