Object, x, y
sheep1, -1.0, 5.4
sheep2, -0.7, 0.9
sheep3, 3.6, 4.5
sheep4, 3.1, -1.2
sheep5, -4.6, -1.6
Coke1, 5.0, 8.1
Coke2, -0.1, -0.6
Coke3, -4.3, 6.6
Coke4, 4.1, 1.9
Coke5, -2.1, 2.9
Marker1, 1.615632, 0.167391
Marker3, -2.566703, 3.177025
Marker10, 2.303125, -0.807465
Marker15, 2.595387, 9.583944
Marker18, -3.456637, 7.516911
Marker23, 2.950481, 4.738921
Marker25, -2.376843, -2.386493
Marker26, -5.987727, 2.761368
Marker30, 5.979288, 4.591185
Marker34, -0.434712, 2.942916

